#name	name2
NR_037357	Mir3569
NM_001108911	Upk1a
NM_001008764	Psenen
NM_001109517	Zbtb32
NM_138887	Hspb6
NM_023964	Gapdhs
NM_001198590	Sbsn
NM_001198591	Sbsn
NM_001044231	Sbsn
NM_012509	Atp4a
NM_001173357	Dmkn
NM_001038494	Tmem147
NM_001109519	LOC688924
NM_001107503	Cd22
NM_017190	Mag
NM_001108912	Ffar3
NM_053469	Hamp
NM_001005877	Ffar2
NM_153304	Ffar1
NM_021909	Fxyd5
NM_022008	Fxyd7
NM_032616	Lsr
NM_031648	Fxyd1
NM_199499	Lgi4
NM_001270689	Fxyd5
NM_001270688	Fxyd5
NM_017288	Scn1b
NM_001014160	Gramd1a
NM_017112	Hpn
NM_001271046	Scn1b
NM_001271045	Scn1b
NM_001170400	LOC292801
NM_001170457	LOC689199
